timestamp,high,low,open,volumefrom,volume,close,conversionType,conversionSymbol
2017-03-29 00:00:00+00:00,53.97,50.08,50.25,735947.3,38472526.6,53.07,direct,
2017-03-30 00:00:00+00:00,53.63,51.36,53.07,410830.36,21489377.75,51.91,direct,
2017-03-31 00:00:00+00:00,52.22,46.83,51.91,754720.51,37271970.09,49.91,direct,
2017-04-01 00:00:00+00:00,52.7,47.7,49.57,911358.56,45810015.46,50.27,multiply,BTC
2017-04-02 00:00:00+00:00,51.93,40.09,50.27,1402855.51,67229687.11,47.92,multiply,BTC
2017-04-03 00:00:00+00:00,50.44,42.39,47.92,1993261.33,87492551.67,43.89,multiply,BTC
2017-04-04 00:00:00+00:00,46.33,40.52,43.89,1768504.23,78366125.15,44.31,multiply,BTC
2017-04-05 00:00:00+00:00,48.45,43.57,44.31,1364875.45,61191790.8,44.83,multiply,BTC
2017-04-06 00:00:00+00:00,47.86,40.04,44.83,1953064.61,84042206.05,43.03,multiply,BTC
2017-04-07 00:00:00+00:00,45.04,41.13,43.03,1080013.2,45399652.93,42.04,multiply,BTC
2017-04-08 00:00:00+00:00,48.97,41.66,42.04,888373.53,39305044.42,44.24,multiply,BTC
2017-04-09 00:00:00+00:00,45.44,42.72,44.24,705988.29,30702525.23,43.49,multiply,BTC
2017-04-10 00:00:00+00:00,44.57,42.49,43.72,212490.27,9252478.8,43.74,direct,
2017-04-11 00:00:00+00:00,45.35,43.15,43.61,398782.81,17374253.45,43.57,multiply,BTC
2017-04-12 00:00:00+00:00,47.89,43.26,43.74,477208.91,22030599.81,46.38,direct,
2017-04-13 00:00:00+00:00,51.73,44.63,46.2,1431983.99,71633260.67,50.02,multiply,BTC
2017-04-14 00:00:00+00:00,50.22,45.89,50.02,821341.07,38795618.02,47.23,multiply,BTC
2017-04-15 00:00:00+00:00,68.88,46.26,47.23,670579.03,32778167.66,48.88,multiply,BTC
2017-04-16 00:00:00+00:00,48.99,47.32,48.88,288964.04,13931966.59,48.21,multiply,BTC
2017-04-17 00:00:00+00:00,49.24,46.35,48.21,416532.36,19928566.19,47.84,multiply,BTC
2017-04-18 00:00:00+00:00,50.25,47.75,47.94,436070.52,22065841.78,49.88,direct,
2017-04-19 00:00:00+00:00,50.5,46.86,49.88,380316.93,19057555.2,47.88,direct,
2017-04-20 00:00:00+00:00,50.22,47.58,47.78,679463.44,33531702.45,49.35,multiply,BTC
2017-04-21 00:00:00+00:00,49.94,47.79,49.35,394618.05,19079219.05,48.35,multiply,BTC
2017-04-22 00:00:00+00:00,49.54,47.7,48.35,320051.68,15464979.3,48.32,multiply,BTC
2017-04-23 00:00:00+00:00,48.92,47.91,48.41,172577.23,8709584.13,48.75,direct,
2017-04-24 00:00:00+00:00,50.41,48.72,48.75,238228.15,12211894.49,49.94,direct,
2017-04-25 00:00:00+00:00,50.61,49.79,49.94,167430.9,8566119.69,50.09,direct,
2017-04-26 00:00:00+00:00,54.61,50.01,50.09,531522.95,28727738.92,53.28,direct,
2017-04-27 00:00:00+00:00,63.43,53.98,52.8,1752792.16,110297393.29,62.93,multiply,BTC
2017-04-28 00:00:00+00:00,73.09,62.04,62.93,2198956.7,156246632.59,71.05,multiply,BTC
2017-04-29 00:00:00+00:00,74.03,67.62,72.42,536860.87,38785700.28,69.83,direct,
2017-04-30 00:00:00+00:00,79.82,69.45,68.75,1281123.16,100852217.79,78.72,multiply,BTC
2017-05-01 00:00:00+00:00,83.87,71.46,79.83,1236010.8,99260395.94,77.53,direct,
2017-05-02 00:00:00+00:00,79.8,71.24,75.18,1137778.64,86436090.05,75.97,multiply,BTC
2017-05-03 00:00:00+00:00,80.96,75.4,77.25,486106.3,38833085.88,80.37,direct,
2017-05-04 00:00:00+00:00,95.31,79.34,80.37,946431.09,84572615.78,94.55,direct,
2017-05-05 00:00:00+00:00,94.9,85.4,93.36,1543648.23,137972213.63,89.38,multiply,BTC
2017-05-06 00:00:00+00:00,95.6,90.56,90.79,328080.12,30584898.98,94.82,direct,
2017-05-07 00:00:00+00:00,96.37,62.74,94.82,535325.03,45495746.59,90.46,direct,
2017-05-08 00:00:00+00:00,97.47,86.57,90.67,1249249.59,108458294.34,86.82,multiply,BTC
2017-05-09 00:00:00+00:00,91.12,67.66,86.82,2097929.63,179878007.48,85.74,multiply,BTC
2017-05-10 00:00:00+00:00,92.7,83.92,85.74,792876.57,68356784.68,86.21,multiply,BTC
2017-05-11 00:00:00+00:00,90.55,85.77,87.83,369180.29,32402025.29,88.2,direct,
2017-05-12 00:00:00+00:00,90.57,83.15,88.2,430272.67,37700850.86,85.15,direct,
2017-05-13 00:00:00+00:00,88.59,81.81,85.15,215848.18,18579547.98,87.96,direct,
2017-05-14 00:00:00+00:00,89.7,86.33,87.96,165043.86,14701160.35,88.72,direct,
2017-05-15 00:00:00+00:00,94.3,86.75,88.72,555746.25,50259306.03,90.32,direct,
2017-05-16 00:00:00+00:00,92.18,85.68,90.32,439109.0,38782037.85,87.8,direct,
2017-05-17 00:00:00+00:00,89.4,81.99,87.8,461291.81,39565758.47,86.98,direct,
2017-05-18 00:00:00+00:00,96.1,86.69,86.98,495291.26,46394766.22,95.88,direct,
2017-05-19 00:00:00+00:00,129.47,95.73,95.88,1156200.73,130687977.2,124.38,direct,
